Hour;drink;steps;food;light;temperature;humidity;people;work;drinksTotal;lightTotal;temperatureTotal;humidityTotal;peopleTotal
0,5;1;S;F;95.83;24.00;70.00;5;W;1;24.00;95.83;70.00;5
1;0;S;F;92.89;24.00;55.00;1;W;1;24.00;94.36;62.50;6
1,5;1;S;F;91.29;24.00;52.00;19;W;2;24.00;93.34;59.00;25
2;1;S;F;90.30;25.00;48.00;77;W;3;24.25;92.58;56.25;102
2,5;1;S;F;84.47;25.00;51.00;22;W;4;24.40;90.96;55.20;124
3;0;S;F;81.31;25.00;54.00;11;W;4;24.50;89.35;55.00;135
3,5;0;S;F;84.83;26.00;53.00;0;W;4;24.71;88.70;54.71;135
4;0;S;F;84.28;27.00;52.00;1;W;4;25.00;88.15;54.38;136
4,5;0;S;F;82.56;27.00;54.00;16;W;4;25.22;87.53;54.33;152
5;0;S;F;77.16;28.00;54.00;2;W;4;25.50;86.49;54.30;154
5,5;0;S;F;75.12;27.00;59.00;1;W;4;25.64;85.46;54.73;155
6;0;S;F;71.38;28.00;59.00;2;W;4;25.83;84.28;55.08;157
6,5;1;S;F;82.11;28.00;59.00;0;W;5;26.00;84.12;55.38;157
7;0;S;F;82.03;28.00;59.00;4;W;5;26.14;83.97;55.64;161
7,5;0;S;F;77.36;28.00;55.00;0;W;5;26.27;83.53;55.60;161
8;0;S;F;75.71;28.00;53.00;7;W;5;26.38;83.04;55.44;168
8,5;1;S;F;75.56;28.00;57.00;2;W;6;26.47;82.60;55.53;170
9;1;S;F;81.14;28.00;53.00;5;W;7;26.56;82.52;55.39;175
9,5;0;S;F;81.77;28.00;53.00;3;W;7;26.63;82.48;55.26;178
10;0;S;F;81.59;28.00;52.00;0;W;7;26.70;82.43;55.10;178
10,5;0;S;F;83.17;28.00;52.00;0;W;7;26.76;82.47;54.95;178
11;0;S;F;78.59;28.00;51.00;0;W;7;26.82;82.29;54.77;178
11,5;0;S;F;81.18;28.00;51.00;0;W;7;26.87;82.24;54.61;178
12;0;S;F;70.13;28.00;50.00;0;W;7;26.92;81.74;54.42;178
12,5;0;S;F;83.99;28.00;49.00;0;W;7;26.96;81.83;54.20;178
13;0;S;F;77.87;28.00;48.00;0;W;7;27.00;81.68;53.96;178
13,5;0;S;F;84.13;28.00;48.00;0;W;7;27.04;81.77;53.74;178
14;0;S;F;77.51;28.00;48.00;0;W;7;27.07;81.62;53.54;178
14,5;0;S;F;84.32;28.00;48.00;0;W;7;27.10;81.71;53.34;178
15;0;S;F;77.00;28.00;47.00;0;W;7;27.13;81.55;53.13;178
15,5;0;S;F;84.91;28.00;47.00;0;W;7;27.16;81.66;52.94;178
16;0;S;F;78.41;28.00;47.00;0;W;7;27.19;81.56;52.75;178
16,5;0;S;F;81.61;28.00;54.00;0;W;7;27.21;81.56;52.79;178
17;0;S;F;84.33;28.00;54.00;0;W;7;27.24;81.64;52.82;178
17,5;0;S;F;85.35;28.00;54.00;0;W;7;27.26;81.75;52.86;178
18;0;S;F;77.77;28.00;53.00;0;W;7;27.28;81.64;52.86;178
18,5;0;S;F;80.77;28.00;53.00;0;W;7;27.30;81.61;52.86;178
19;0;S;F;78.89;28.00;53.00;0;W;7;27.32;81.54;52.87;178
19,5;0;S;F;77.86;28.00;53.00;0;W;7;27.33;81.45;52.87;178
20;0;S;F;79.22;28.00;53.00;0;W;7;27.35;81.39;52.88;178
20,5;0;S;F;81.80;28.00;53.00;0;W;7;27.37;81.40;52.88;178
21;0;S;F;78.93;28.00;54.00;0;W;7;27.38;81.34;52.90;178
21,5;0;S;F;74.32;27.00;54.00;0;W;7;27.37;81.18;52.93;178
22;0;S;F;75.37;28.00;54.00;0;W;7;27.39;81.05;52.95;178
22,5;0;S;F;76.52;28.00;54.00;0;W;7;27.40;80.95;52.98;178
23;0;S;F;77.46;28.00;54.00;0;W;7;27.41;80.87;53.00;178
23,5;0;S;F;78.54;28.00;54.00;0;W;7;27.43;80.82;53.02;178
24;0;S;F;77.48;28.00;54.00;0;W;7;27.44;80.75;53.04;178
24,5;1;S;F;82.87;28.00;54.00;2;W;8;27.45;80.80;53.06;180
25;0;S;F;81.16;26.00;55.00;23;W;8;27.42;80.80;53.10;203
25,5;0;S;F;87.20;26.00;55.00;2;W;8;27.39;80.93;53.14;205
26;1;S;F;81.14;26.00;55.00;3;W;9;27.37;80.93;53.17;208
26,5;0;S;F;80.20;26.00;55.00;3;W;9;27.34;80.92;53.21;211
27;0;S;F;87.11;26.00;55.00;1;W;9;27.31;81.03;53.24;212
27,5;0;S;F;86.99;26.00;53.00;2;W;9;27.29;81.14;53.24;214
28;0;S;F;86.84;26.00;53.00;3;W;9;27.27;81.24;53.23;217
28,5;1;S;F;90.75;26.00;53.00;7;W;10;27.25;81.41;53.23;224
29;0;S;F;89.19;26.00;49.00;9;W;10;27.22;81.54;53.16;233
29,5;1;S;F;89.23;26.00;48.00;72;W;11;27.20;81.67;53.07;305
30;0;S;F;83.20;26.00;48.00;1;W;11;27.18;81.70;52.98;306
30,5;0;S;F;84.31;26.00;55.00;3;W;11;27.16;81.74;53.02;309
31;1;S;F;81.14;26.00;54.00;4;W;12;27.15;81.73;53.03;313
31,5;0;S;F;83.30;26.00;52.00;3;W;12;27.13;81.76;53.02;316
32;0;S;F;86.45;26.00;49.00;5;W;12;27.11;81.83;52.95;321
32,5;0;S;F;88.98;26.00;49.00;0;W;12;27.09;81.94;52.89;321
33;0;S;F;87.72;26.00;48.00;2;W;12;27.08;82.03;52.82;323
33,5;0;S;F;83.04;27.00;46.00;0;W;12;27.07;82.04;52.72;323
34;0;S;F;83.22;27.00;45.00;0;W;12;27.07;82.06;52.60;323
34,5;0;S;F;87.89;26.00;46.00;2;W;12;27.06;82.15;52.51;325
35;0;S;F;89.18;26.00;46.00;7;W;12;27.04;82.25;52.41;332
35,5;0;S;F;84.46;27.00;45.00;0;W;12;27.04;82.28;52.31;332
36;0;S;F;82.00;27.00;45.00;0;W;12;27.04;82.27;52.21;332
36,5;0;S;F;77.14;27.00;45.00;0;W;12;27.04;82.20;52.11;332
37;0;S;F;88.31;27.00;45.00;0;W;12;27.04;82.29;52.01;332
37,5;0;S;F;87.27;27.00;45.00;0;W;12;27.04;82.35;51.92;332
38;0;S;F;86.38;26.00;47.00;0;W;12;27.03;82.41;51.86;332
38,5;0;S;F;86.16;26.00;47.00;0;W;12;27.01;82.45;51.79;332
39;0;S;F;89.58;26.00;47.00;0;W;12;27.00;82.55;51.73;332
39,5;0;S;F;89.08;26.00;47.00;0;W;12;26.99;82.63;51.67;332
40;0;S;F;89.84;26.00;47.00;0;W;12;26.98;82.72;51.61;332
40,5;0;S;F;89.26;26.00;47.00;0;W;12;26.96;82.80;51.56;332
41;0;S;F;87.03;26.00;47.00;0;W;12;26.95;82.85;51.50;332
41,5;0;S;F;91.01;26.00;47.00;0;W;12;26.94;82.95;51.45;332
42;0;S;F;86.30;26.00;47.00;0;W;12;26.93;82.99;51.39;332
42,5;0;S;F;90.40;26.00;48.00;0;W;12;26.92;83.08;51.35;332
43;0;S;F;87.67;26.00;48.00;0;W;12;26.91;83.13;51.31;332
43,5;0;S;F;89.62;26.00;48.00;0;W;12;26.90;83.20;51.28;332
44;0;S;F;79.33;25.00;48.00;0;W;12;26.88;83.16;51.24;332
44,5;0;S;F;91.13;25.00;48.00;0;W;12;26.85;83.25;51.20;332
45;0;S;F;85.25;25.00;48.00;0;W;12;26.83;83.27;51.17;332
45,5;0;S;F;82.71;26.00;47.00;0;W;12;26.82;83.27;51.12;332
46;0;S;F;79.57;28.00;44.00;0;W;12;26.84;83.23;51.04;332
46,5;0;S;F;53.71;30.00;42.00;0;W;12;26.87;82.91;50.95;332
47;0;S;F;46.28;36.00;29.00;0;W;12;26.97;82.52;50.71;332
47,5;0;S;F;54.48;39.00;22.00;0;W;12;27.09;82.22;50.41;332
48;0;S;F;67.38;34.00;35.00;0;W;12;27.17;82.07;50.25;332
48,5;0;S;F;75.56;32.00;38.00;9;W;12;27.22;82.00;50.12;341
49;0;S;F;73.18;30.00;40.00;0;W;12;27.24;81.91;50.02;341
49,5;0;S;F;79.48;30.00;41.00;5;W;12;27.27;81.89;49.93;346
50;0;S;F;80.60;29.00;41.00;0;W;12;27.29;81.87;49.84;346
50,5;2;S;F;76.35;29.00;40.00;7;W;14;27.31;81.82;49.74;353
51;0;S;F;78.63;30.00;40.00;6;W;14;27.33;81.79;49.65;359
51,5;0;S;F;76.54;28.00;42.00;0;W;14;27.34;81.74;49.57;359
52;0;S;F;79.99;29.00;40.00;0;W;14;27.36;81.72;49.48;359
52,5;0;S;F;78.77;29.00;39.00;99;W;14;27.37;81.69;49.38;458
53;0;S;F;82.32;28.00;41.00;3;W;14;27.38;81.70;49.30;461
53,5;0;S;F;81.13;27.00;40.00;9;W;14;27.37;81.69;49.21;470
54;0;S;F;83.92;27.00;40.00;3;W;14;27.37;81.71;49.13;473
54,5;0;S;F;80.40;27.00;41.00;37;W;14;27.37;81.70;49.06;510
55;1;S;F;82.94;26.00;42.00;1;W;15;27.35;81.71;48.99;511
55,5;0;S;F;87.57;26.00;42.00;0;W;15;27.34;81.77;48.93;511
56;0;S;F;85.39;26.00;41.00;0;W;15;27.33;81.80;48.86;511
56,5;4;S;F;90.15;26.00;40.00;6;W;19;27.32;81.87;48.78;517
57;0;S;F;89.08;24.00;40.00;0;W;19;27.29;81.93;48.70;517
57,5;0;S;F;88.26;24.00;40.00;2;W;19;27.26;81.99;48.63;519
58;0;S;F;92.60;25.00;36.00;4;W;19;27.24;82.08;48.52;523
58,5;0;S;F;92.98;23.00;40.00;0;W;19;27.21;82.17;48.44;523
59;0;S;F;87.41;23.00;38.00;0;W;19;27.17;82.22;48.36;523
59,5;0;S;F;89.36;25.00;37.00;4;W;19;27.15;82.28;48.26;527
60;0;S;F;88.55;26.00;37.00;0;W;19;27.14;82.33;48.17;527
60,5;1;S;F;86.49;26.00;38.00;2;W;20;27.13;82.37;48.08;529
61;0;S;F;83.68;27.00;37.00;0;W;20;27.13;82.38;47.99;529
61,5;0;S;F;87.07;26.00;38.00;0;W;20;27.12;82.41;47.91;529
62;0;S;F;88.96;26.00;38.00;0;W;20;27.11;82.47;47.83;529
62,5;0;S;F;88.23;26.00;38.00;0;W;20;27.10;82.51;47.75;529
63;0;S;F;85.20;26.00;38.00;0;W;20;27.10;82.53;47.67;529
63,5;0;S;F;89.46;26.00;38.00;0;W;20;27.09;82.59;47.60;529
64;0;S;F;83.01;26.00;38.00;0;W;20;27.08;82.59;47.52;529
64,5;0;S;F;83.63;26.00;39.00;0;W;20;27.07;82.60;47.46;529
65;0;S;F;84.60;26.00;39.00;0;W;20;27.06;82.62;47.39;529
65,5;0;S;F;87.48;26.00;39.00;0;W;20;27.05;82.65;47.33;529
66;0;S;F;85.10;25.00;39.00;0;W;20;27.04;82.67;47.27;529
66,5;0;S;F;86.74;25.00;39.00;0;W;20;27.02;82.70;47.20;529
67;0;S;F;86.12;25.00;39.00;0;W;20;27.01;82.73;47.14;529
67,5;0;S;F;85.04;25.00;39.00;0;W;20;26.99;82.74;47.08;529
68;0;S;F;81.09;24.00;41.00;0;W;20;26.97;82.73;47.04;529
68,5;0;S;F;91.08;24.00;41.00;0;W;20;26.95;82.79;46.99;529
69;0;S;F;89.66;24.00;41.00;0;W;20;26.93;82.84;46.95;529
69,5;0;S;F;79.33;25.00;39.00;0;W;20;26.91;82.82;46.89;529
70;0;S;F;75.39;28.00;32.00;0;W;20;26.92;82.77;46.79;529
70,5;0;S;F;49.71;30.00;30.00;0;W;20;26.94;82.53;46.67;529
71;0;S;F;34.33;41.00;8.00;0;W;20;27.04;82.19;46.39;529
71,5;0;S;F;51.73;42.00;8.00;1;W;20;27.15;81.98;46.13;530
72;0;S;F;67.98;34.00;14.00;0;W;20;27.19;81.88;45.90;530
72,5;0;S;F;81.54;33.00;25.00;6;W;20;27.23;81.88;45.76;536
73;0;S;F;88.60;27.00;29.00;5;W;20;27.23;81.92;45.64;541
73,5;0;S;F;84.61;25.00;31.00;0;W;20;27.22;81.94;45.54;541
74;0;S;F;86.27;26.00;30.00;0;W;20;27.21;81.97;45.44;541
74,5;0;S;F;83.18;26.00;30.00;0;W;20;27.20;81.98;45.34;541
75;0;S;F;83.45;27.00;28.00;5;W;20;27.20;81.99;45.22;546
75,5;0;S;F;90.03;28.00;26.00;0;W;20;27.21;82.04;45.09;546
76;0;S;F;89.20;26.00;29.00;1;W;20;27.20;82.09;44.99;547
76,5;0;S;F;91.51;26.00;29.00;5;W;20;27.19;82.15;44.88;552
77;0;S;F;91.55;25.00;18.00;0;W;20;27.18;82.21;44.71;552
77,5;0;S;F;90.45;24.00;19.00;2;W;20;27.15;82.27;44.54;554
78;0;S;F;90.82;24.00;19.00;2;W;20;27.13;82.32;44.38;556
78,5;0;S;F;96.26;24.00;19.00;0;W;20;27.11;82.41;44.22;556
79;0;S;F;95.78;24.00;20.00;0;W;20;27.09;82.49;44.06;556
79,5;0;S;F;91.64;24.00;22.00;2;W;20;27.08;82.55;43.92;558
80;0;S;F;94.48;24.00;25.00;1;W;20;27.06;82.63;43.81;559
80,5;0;S;F;93.64;24.00;30.00;0;W;20;27.04;82.69;43.72;559
81;0;S;F;86.38;26.00;24.00;0;W;20;27.03;82.72;43.60;559
81,5;0;S;F;91.12;27.00;23.00;0;W;20;27.03;82.77;43.47;559
82;0;S;F;85.95;27.00;22.00;0;W;20;27.03;82.79;43.34;559
82,5;0;S;F;90.39;27.00;20.00;0;W;20;27.03;82.83;43.20;559
83;0;S;F;85.67;27.00;21.00;2;W;20;27.03;82.85;43.07;561
83,5;0;S;F;84.13;27.00;23.00;0;W;20;27.03;82.86;42.95;561
84;0;S;F;87.35;27.00;23.00;0;W;20;27.03;82.89;42.83;561
84,5;0;S;F;82.14;27.00;23.00;0;W;20;27.03;82.88;42.71;561
85;0;S;F;85.86;27.00;22.00;0;W;20;27.03;82.90;42.59;561
85,5;0;S;F;89.49;27.00;19.00;0;W;20;27.03;82.94;42.45;561
86;0;S;F;91.97;26.00;18.00;0;W;20;27.02;82.99;42.31;561
86,5;0;S;F;92.13;26.00;18.00;0;W;20;27.02;83.04;42.17;561
87;0;S;F;87.14;26.00;18.00;0;W;20;27.01;83.07;42.03;561
87,5;0;S;F;89.73;26.00;18.00;0;W;20;27.01;83.10;41.89;561
88;0;S;F;90.11;26.00;19.00;0;W;20;27.00;83.14;41.76;561
88,5;0;S;F;86.68;26.00;24.00;0;W;20;26.99;83.16;41.66;561
89;0;S;F;88.53;26.00;29.00;0;W;20;26.99;83.19;41.59;561
89,5;0;S;F;90.62;26.00;29.00;0;W;20;26.98;83.24;41.52;561
90;0;S;F;93.54;26.00;31.00;0;W;20;26.98;83.29;41.46;561
90,5;0;S;F;88.74;26.00;32.00;0;W;20;26.97;83.32;41.41;561
91;0;S;F;90.13;26.00;33.00;0;W;20;26.97;83.36;41.36;561
91,5;0;S;F;86.92;26.00;34.00;0;W;20;26.96;83.38;41.32;561
92;0;S;F;87.61;26.00;35.00;0;W;20;26.96;83.40;41.29;561
92,5;0;S;F;92.15;25.00;35.00;0;W;20;26.95;83.45;41.25;561
93;0;S;F;91.75;25.00;36.00;0;W;20;26.94;83.50;41.23;561
93,5;0;S;F;90.65;26.00;35.00;0;W;20;26.93;83.53;41.19;561
94;0;S;F;85.40;27.00;32.00;0;W;20;26.93;83.54;41.14;561
94,5;0;S;F;64.03;29.00;30.00;0;W;20;26.94;83.44;41.08;561
95;0;S;F;51.12;37.00;12.00;0;W;20;26.99;83.27;40.93;561
95,5;0;S;F;60.31;40.00;9.00;0;W;20;27.06;83.15;40.76;561
96;0;S;F;72.69;33.00;14.00;0;W;20;27.09;83.10;40.63;561
96,5;0;S;F;74.53;33.00;21.00;0;W;20;27.12;83.05;40.52;561
97;0;S;F;71.59;32.00;26.00;0;W;20;27.15;82.99;40.45;561
97,5;0;S;F;77.95;32.00;26.00;0;W;20;27.17;82.97;40.37;561
98;0;S;F;76.46;32.00;26.00;0;W;20;27.20;82.93;40.30;561
98,5;0;S;F;78.07;32.00;26.00;0;W;20;27.22;82.91;40.23;561
99;0;S;F;79.86;32.00;26.00;0;W;20;27.25;82.89;40.16;561
99,5;0;S;F;74.42;32.00;26.00;0;W;20;27.27;82.85;40.09;561
100;0;S;F;78.77;31.00;26.00;0;W;20;27.29;82.83;40.01;561
100,5;0;S;F;78.78;31.00;26.00;0;W;20;27.31;82.81;39.95;561
101;0;S;F;83.77;31.00;27.00;5;W;20;27.33;82.81;39.88;566
101,5;0;S;F;86.01;28.00;33.00;0;W;20;27.33;82.83;39.85;566
102;0;S;F;87.59;27.00;38.00;0;W;20;27.33;82.85;39.84;566
102,5;0;S;F;83.65;27.00;39.00;0;W;20;27.33;82.86;39.83;566