hour;drink;steps;food;light;temperature;humidity;people;work;drinksTotal;lightTotal;temperatureTotal;humidityTotal;peopleTotal
0,5;0;S;F;171.51;28.00;56.00;1;W;0;28.00;171.51;56.00;1
1;0;S;F;171.45;29.00;49.00;0;W;0;28.50;171.48;52.50;1
1,5;3;S;F;169.58;30.00;47.00;0;W;3;29.00;170.85;50.67;1
2;10;S;F;169.97;30.00;49.00;8;W;13;29.25;170.63;50.25;9
2,5;5;S;F;169.46;30.00;45.00;9;W;18;29.40;170.39;49.20;18
3;0;S;F;169.48;30.00;45.00;2;W;18;29.50;170.24;48.50;20
3,5;6;S;F;168.57;30.00;48.00;3;W;24;29.57;170.00;48.43;23
4;8;S;F;168.70;30.00;49.00;0;W;32;29.63;169.84;48.50;23
4,5;6;S;F;168.04;31.00;49.00;0;W;38;29.78;169.64;48.56;23
5;1;S;F;166.66;31.00;51.00;3;W;39;29.90;169.34;48.80;26
5,5;1;S;F;166.87;32.00;51.00;3;W;40;30.09;169.12;49.00;29
6;0;S;F;166.25;32.00;53.00;11;W;40;30.25;168.88;49.33;40
6,5;1;S;F;165.79;32.00;51.00;4;W;41;30.38;168.64;49.46;44
7;0;S;F;165.11;32.00;48.00;0;W;41;30.50;168.39;49.36;44
7,5;0;S;F;165.04;33.00;45.00;3;W;41;30.67;168.17;49.07;47
8;0;S;F;164.06;32.00;49.00;6;W;41;30.75;167.91;49.06;53
8,5;0;S;F;149.12;33.00;43.00;0;W;41;30.88;166.80;48.71;53
9;0;S;F;161.38;33.00;42.00;0;W;41;31.00;166.50;48.33;53
9,5;0;S;F;161.30;34.00;41.00;0;W;41;31.16;166.23;47.95;53
10;0;S;F;160.76;34.00;47.00;0;W;41;31.30;165.96;47.90;53
10,5;0;S;F;161.48;34.00;47.00;0;W;41;31.43;165.74;47.86;53
11;0;S;F;162.75;33.00;41.00;0;W;41;31.50;165.61;47.55;53
11,5;0;S;F;161.28;32.00;44.00;0;W;41;31.52;165.42;47.39;53
12;0;S;F;165.95;32.00;46.00;0;W;41;31.54;165.44;47.33;53
12,5;0;S;F;167.92;31.00;49.00;0;W;41;31.52;165.54;47.40;53
13;0;S;F;169.36;30.00;51.00;0;W;41;31.46;165.69;47.54;53
13,5;0;S;F;170.84;30.00;51.00;0;W;41;31.41;165.88;47.67;53
14;0;S;F;172.29;28.00;52.00;0;W;41;31.29;166.11;47.82;53
14,5;0;S;F;172.71;28.00;54.00;0;W;41;31.17;166.33;48.03;53
15;0;S;F;172.86;28.00;52.00;0;W;41;31.07;166.55;48.17;53
15,5;0;S;F;173.00;28.00;54.00;0;W;41;30.97;166.76;48.35;53
16;0;S;F;173.89;28.00;54.00;0;W;41;30.88;166.98;48.53;53
16,5;0;S;F;174.95;27.00;53.00;0;W;41;30.76;167.22;48.67;53
17;0;S;F;175.14;27.00;53.00;0;W;41;30.65;167.46;48.79;53
17,5;0;S;F;175.82;27.00;52.00;0;W;41;30.54;167.70;48.89;53
18;0;S;F;162.99;27.00;54.00;0;W;41;30.44;167.56;49.03;53
18,5;0;S;F;176.15;27.00;55.00;0;W;41;30.35;167.80;49.19;53
19;0;S;F;175.71;27.00;56.00;0;W;41;30.26;168.01;49.37;53
19,5;0;S;F;176.50;27.00;56.00;0;W;41;30.18;168.22;49.54;53
20;0;S;F;175.55;26.00;58.00;0;W;41;30.08;168.41;49.75;53
20,5;0;S;F;174.23;26.00;58.00;0;W;41;29.98;168.55;49.95;53
21;0;S;F;160.02;26.00;58.00;0;W;41;29.88;168.35;50.14;53
21,5;0;S;F;160.60;26.00;58.00;0;W;41;29.79;168.16;50.33;53
22;0;S;F;161.76;26.00;58.00;0;W;41;29.70;168.02;50.50;53
22,5;0;S;F;162.73;26.00;58.00;0;W;41;29.62;167.90;50.67;53
23;0;S;F;163.78;26.00;58.00;0;W;41;29.54;167.81;50.83;53
23,5;0;S;F;163.89;26.00;58.00;0;W;41;29.47;167.73;50.98;53
24;0;S;F;163.82;26.00;59.00;0;W;41;29.40;167.65;51.15;53
24,5;0;S;F;177.66;26.00;59.00;0;W;41;29.33;167.85;51.31;53
25;0;S;F;177.35;26.00;58.00;0;W;41;29.26;168.04;51.44;53
25,5;0;S;F;164.06;26.00;58.00;0;W;41;29.20;167.96;51.57;53
26;3;S;F;165.01;27.00;57.00;3;W;44;29.15;167.91;51.67;56
26,5;5;S;F;163.12;27.00;57.00;6;W;49;29.11;167.82;51.77;62
27;1;S;F;163.71;27.00;57.00;4;W;50;29.07;167.74;51.87;66
27,5;3;S;F;163.78;26.00;58.00;0;W;53;29.02;167.67;51.98;66
28;1;S;F;162.16;26.00;58.00;2;W;54;28.96;167.57;52.09;68
28,5;0;S;F;163.63;26.00;57.00;3;W;54;28.91;167.50;52.18;71
29;0;S;F;162.30;26.00;57.00;2;W;54;28.86;167.41;52.26;73
29,5;13;S;F;175.49;27.00;56.00;14;W;67;28.83;167.55;52.32;87
30;9;S;F;175.99;27.00;56.00;1;W;76;28.80;167.69;52.38;88
30,5;6;S;F;174.21;27.00;52.00;1;W;82;28.77;167.80;52.38;89
31;11;S;F;174.48;28.00;48.00;4;W;93;28.76;167.90;52.31;93
31,5;14;S;F;172.38;28.00;51.00;5;W;107;28.75;167.97;52.29;98
32;24;S;F;174.20;28.00;50.00;11;W;131;28.73;168.07;52.25;109
32,5;18;S;F;170.02;28.00;50.00;0;W;149;28.72;168.10;52.22;109
33;12;S;F;170.95;29.00;45.00;1;W;161;28.73;168.14;52.11;110
33,5;0;S;F;173.26;29.00;43.00;0;W;161;28.73;168.22;51.97;110
34;0;S;F;174.00;28.00;44.00;3;W;161;28.72;168.31;51.85;113
34,5;0;S;F;173.68;27.00;47.00;0;W;161;28.70;168.38;51.78;113
35;0;S;F;174.02;27.00;49.00;0;W;161;28.67;168.46;51.74;113
35,5;0;S;F;161.65;27.00;50.00;0;W;161;28.65;168.37;51.72;113
36;0;S;F;176.32;26.00;52.00;0;W;161;28.61;168.48;51.72;113
36,5;0;S;F;178.00;26.00;52.00;0;W;161;28.58;168.61;51.73;113
37;0;S;F;164.93;26.00;47.00;0;W;161;28.54;168.56;51.66;113
37,5;0;S;F;165.00;26.00;47.00;0;W;161;28.51;168.51;51.60;113
38;0;S;F;165.55;26.00;48.00;0;W;161;28.47;168.47;51.55;113
38,5;0;S;F;165.22;26.00;49.00;0;W;161;28.44;168.43;51.52;113
39;0;S;F;164.66;25.00;50.00;0;W;161;28.40;168.38;51.50;113
39,5;0;S;F;165.80;25.00;50.00;0;W;161;28.35;168.35;51.48;113
40;0;S;F;165.79;25.00;51.00;0;W;161;28.31;168.32;51.47;113
40,5;0;S;F;166.07;25.00;52.00;0;W;161;28.27;168.29;51.48;113
41;0;S;F;165.66;25.00;52.00;0;W;161;28.23;168.26;51.49;113
41,5;0;S;F;166.62;25.00;52.00;0;W;161;28.19;168.24;51.49;113
42;0;S;F;165.73;25.00;53.00;0;W;161;28.15;168.21;51.51;113
42,5;0;S;F;166.35;25.00;53.00;0;W;161;28.12;168.19;51.53;113
43;0;S;F;166.02;25.00;53.00;0;W;161;28.08;168.16;51.55;113
43,5;0;S;F;180.61;25.00;53.00;0;W;161;28.05;168.30;51.56;113
44;0;S;F;178.73;25.00;53.00;0;W;161;28.01;168.42;51.58;113
44,5;0;S;F;179.74;25.00;53.00;0;W;161;27.98;168.55;51.60;113
45;0;S;F;180.04;25.00;53.00;0;W;161;27.94;168.68;51.61;113
45,5;0;S;F;180.52;25.00;53.00;0;W;161;27.91;168.81;51.63;113
46;0;S;F;180.47;25.00;53.00;0;W;161;27.88;168.93;51.64;113
46,5;0;S;F;181.12;25.00;52.00;0;W;161;27.85;169.07;51.65;113
47;0;S;F;180.52;25.00;51.00;0;W;161;27.82;169.19;51.64;113
47,5;0;S;F;180.44;25.00;52.00;0;W;161;27.79;169.31;51.64;113
48;0;S;F;180.29;25.00;51.00;0;W;161;27.76;169.42;51.64;113
48,5;0;S;F;179.31;26.00;49.00;0;W;161;27.74;169.52;51.61;113
49;9;S;F;178.90;26.00;48.00;4;W;170;27.72;169.62;51.57;117
49,5;13;S;F;150.41;26.00;50.00;0;W;183;27.71;169.42;51.56;117
50;19;S;F;177.33;27.00;51.00;0;W;202;27.70;169.50;51.55;117
50,5;5;S;F;163.46;27.00;50.00;3;W;207;27.69;169.44;51.53;120
51;0;S;F;163.34;27.00;48.00;0;W;207;27.69;169.38;51.50;120
51,5;10;S;F;175.93;27.00;45.00;1;W;217;27.68;169.45;51.44;121
52;15;S;F;157.58;27.00;45.00;0;W;232;27.67;169.33;51.38;121
52,5;3;S;F;163.88;27.00;44.00;3;W;235;27.67;169.28;51.30;124
53;16;S;F;162.61;27.00;44.00;3;W;251;27.66;169.22;51.24;127
53,5;0;S;F;161.54;28.00;43.00;0;W;251;27.66;169.15;51.16;127
54;0;S;F;160.44;28.00;42.00;0;W;251;27.67;169.07;51.07;127
54,5;0;S;F;159.60;28.00;42.00;0;W;251;27.67;168.98;50.99;127
55;0;S;F;158.44;28.00;41.00;2;W;251;27.67;168.88;50.90;129
55,5;0;S;F;156.79;29.00;40.00;2;W;251;27.68;168.77;50.80;131
56;0;S;F;156.35;30.00;39.00;0;W;251;27.71;168.66;50.70;131
56,5;0;S;F;163.89;30.00;38.00;0;W;251;27.73;168.62;50.58;131
57;0;S;F;152.80;31.00;36.00;0;W;251;27.75;168.48;50.46;131
57,5;0;S;F;153.28;32.00;35.00;0;W;251;27.79;168.35;50.32;131
58;0;S;F;163.37;32.00;34.00;0;W;251;27.83;168.31;50.18;131
58,5;0;S;F;162.81;33.00;31.00;0;W;251;27.87;168.26;50.02;131
59;0;S;F;163.25;33.00;32.00;0;W;251;27.92;168.22;49.86;131
59,5;0;S;F;165.27;32.00;33.00;0;W;251;27.95;168.19;49.72;131
60;0;S;F;165.72;31.00;33.00;0;W;251;27.98;168.17;49.58;131
60,5;0;S;F;170.62;30.00;34.00;0;W;251;27.99;168.19;49.45;131
61;0;S;F;172.39;29.00;37.00;0;W;251;28.00;168.23;49.35;131
61,5;0;S;F;173.93;28.00;39.00;0;W;251;28.00;168.27;49.27;131
62;0;S;F;173.70;28.00;39.00;0;W;251;28.00;168.32;49.19;131
62,5;0;S;F;175.58;28.00;39.00;0;W;251;28.00;168.38;49.10;131
63;0;S;F;176.30;28.00;39.00;0;W;251;28.00;168.44;49.02;131
63,5;0;S;F;176.13;27.00;40.00;0;W;251;27.99;168.50;48.95;131
64;0;S;F;176.24;27.00;40.00;0;W;251;27.98;168.56;48.88;131
64,5;0;S;F;176.19;27.00;40.00;0;W;251;27.98;168.62;48.81;131
65;0;S;F;176.89;27.00;40.00;0;W;251;27.97;168.68;48.75;131
65,5;0;S;F;176.94;27.00;40.00;0;W;251;27.96;168.74;48.68;131
66;0;S;F;177.49;27.00;41.00;0;W;251;27.95;168.81;48.62;131
66,5;0;S;F;177.66;26.00;42.00;0;W;251;27.94;168.88;48.57;131
67;0;S;F;178.04;26.00;42.00;0;W;251;27.93;168.95;48.52;131
67,5;0;S;F;176.47;26.00;42.00;0;W;251;27.91;169.00;48.47;131
68;0;S;F;176.57;26.00;42.00;0;W;251;27.90;169.06;48.43;131
68,5;0;S;F;178.45;26.00;42.00;0;W;251;27.88;169.13;48.38;131
69;0;S;F;179.46;26.00;42.00;0;W;251;27.87;169.20;48.33;131
69,5;0;S;F;178.65;26.00;42.00;0;W;251;27.86;169.27;48.29;131
70;0;S;F;177.91;26.00;42.00;0;W;251;27.84;169.33;48.24;131
70,5;0;S;F;177.66;26.00;42.00;0;W;251;27.83;169.39;48.20;131
71;0;S;F;177.51;27.00;41.00;0;W;251;27.82;169.45;48.15;131
71,5;0;S;F;177.55;27.00;41.00;0;W;251;27.82;169.50;48.10;131
72;0;S;F;177.74;27.00;41.00;0;W;251;27.81;169.56;48.05;131
72,5;7;S;F;175.70;27.00;41.00;2;W;258;27.81;169.60;48.00;133
73;3;S;F;175.88;27.00;41.00;0;W;261;27.80;169.65;47.95;133
73,5;6;S;F;176.32;27.00;40.00;0;W;267;27.80;169.69;47.90;133
74;11;S;F;175.08;27.00;39.00;11;W;278;27.79;169.73;47.84;144
74,5;6;S;F;175.64;27.00;39.00;8;W;284;27.79;169.77;47.78;152
75;0;S;F;174.92;27.00;39.00;0;W;284;27.78;169.80;47.72;152
75,5;10;S;F;175.60;28.00;39.00;2;W;294;27.78;169.84;47.66;154
76;12;S;F;178.50;27.00;37.00;3;W;306;27.78;169.90;47.59;157
76,5;5;S;F;175.96;27.00;26.00;2;W;311;27.77;169.94;47.45;159
77;6;S;F;174.76;27.00;14.00;0;W;317;27.77;169.97;47.23;159
77,5;7;S;F;174.28;28.00;26.00;0;W;324;27.77;170.00;47.10;159
78;10;S;F;172.93;28.00;25.00;1;W;334;27.77;170.01;46.96;160
78,5;1;S;F;158.56;28.00;26.00;3;W;335;27.77;169.94;46.82;163
79;1;S;F;169.96;29.00;23.00;0;W;336;27.78;169.94;46.67;163
79,5;3;S;F;169.85;29.00;24.00;0;W;339;27.79;169.94;46.53;163
80;5;S;F;161.55;30.00;26.00;0;W;344;27.80;169.89;46.40;163
80,5;2;S;F;162.01;31.00;14.00;2;W;346;27.82;169.84;46.20;165
81;2;S;F;163.48;32.00;17.00;1;W;348;27.85;169.80;46.02;166
81,5;3;S;F;164.39;31.00;12.00;0;W;351;27.87;169.77;45.81;166
82;6;S;F;164.35;31.00;12.00;4;W;357;27.88;169.73;45.60;170
82,5;0;S;F;163.47;32.00;14.00;0;W;357;27.91;169.70;45.41;170
83;0;S;F;164.06;33.00;22.00;0;W;357;27.94;169.66;45.27;170
83,5;0;S;F;164.80;32.00;25.00;0;W;357;27.96;169.63;45.15;170
84;0;S;F;165.06;31.00;29.00;0;W;357;27.98;169.61;45.05;170
84,5;0;S;F;168.57;30.00;33.00;0;W;357;27.99;169.60;44.98;170
85;0;S;F;169.55;30.00;31.00;0;W;357;28.01;169.60;44.90;170
85,5;0;S;F;158.49;30.00;30.00;0;W;357;28.02;169.53;44.81;170
86;0;S;F;158.64;29.00;32.00;0;W;357;28.02;169.47;44.74;170
86,5;0;S;F;159.78;28.00;35.00;0;W;357;28.02;169.42;44.68;170
87;0;S;F;160.47;28.00;35.00;0;W;357;28.02;169.36;44.63;170
87,5;0;S;F;159.67;28.00;36.00;0;W;357;28.02;169.31;44.58;170
88;0;S;F;161.90;28.00;37.00;0;W;357;28.02;169.27;44.53;170
88,5;0;S;F;162.90;28.00;37.00;0;W;357;28.02;169.23;44.49;170
89;0;S;F;163.04;28.00;38.00;0;W;357;28.02;169.20;44.46;170
89,5;0;S;F;163.38;28.00;39.00;0;W;357;28.02;169.16;44.42;170
90;0;S;F;160.73;28.00;39.00;0;W;357;28.02;169.12;44.39;170
90,5;0;S;F;161.26;28.00;39.00;0;W;357;28.02;169.07;44.36;170
91;0;S;F;161.35;27.00;40.00;0;W;357;28.02;169.03;44.34;170
91,5;0;S;F;161.71;27.00;40.00;0;W;357;28.01;168.99;44.32;170
92;0;S;F;159.71;27.00;40.00;0;W;357;28.01;168.94;44.29;170
92,5;0;S;F;161.60;27.00;40.00;0;W;357;28.00;168.90;44.27;170
93;0;S;F;162.42;27.00;41.00;0;W;357;27.99;168.87;44.25;170
93,5;0;S;F;162.17;27.00;41.00;0;W;357;27.99;168.83;44.24;170
94;0;S;F;162.28;27.00;41.00;0;W;357;27.98;168.80;44.22;170
94,5;0;S;F;161.91;27.00;41.00;0;W;357;27.98;168.76;44.20;170
95;0;S;F;161.45;28.00;40.00;0;W;357;27.98;168.72;44.18;170
95,5;0;S;F;161.57;28.00;40.00;0;W;357;27.98;168.68;44.16;170
96;0;S;F;161.49;28.00;40.00;0;W;357;27.98;168.65;44.14;170
96,5;0;S;F;161.02;28.00;40.00;0;W;357;27.98;168.61;44.11;170
97;0;S;F;161.46;28.00;39.00;0;W;357;27.98;168.57;44.09;170
97,5;0;S;F;160.26;28.00;39.00;0;W;357;27.98;168.53;44.06;170
98;0;S;F;159.83;28.00;39.00;0;W;357;27.98;168.48;44.04;170
98,5;2;S;F;159.32;28.00;39.00;1;W;359;27.98;168.44;44.01;171
99;0;S;F;171.56;29.00;37.00;0;W;359;27.98;168.45;43.97;171
99,5;0;S;F;170.40;29.00;37.00;0;W;359;27.99;168.46;43.94;171
100;14;S;F;168.70;30.00;38.00;2;W;373;28.00;168.46;43.91;173
100,5;15;S;F;169.52;30.00;38.00;0;W;388;28.01;168.47;43.88;173
101;4;S;F;168.84;30.00;38.00;0;W;392;28.02;168.47;43.85;173
101,5;12;S;F;167.98;30.00;39.00;0;W;404;28.03;168.47;43.83;173
102;15;S;F;168.70;30.00;39.00;0;W;419;28.04;168.47;43.80;173